texte,poids,position
revanche,8.0,"[3804, 5643, 7311, 12630, 12970, 15465, 16921, 23011, 23287]"
haut,6.0,"[4481, 5704, 6893, 7403, 10575, 12766, 12795, 12801]"
conséquent,5.0,"[3514, 4521, 7938, 13714, 20251]"
déficit,5.0,"[13669, 13677, 13732, 13853, 13882]"
obliger,5.0,"[5565, 10893, 13924, 16988, 20425]"
rappeler,5.0,"[17316, 17438, 22506, 22543, 22654]"
sortir,5.0,"[4344, 5514, 5732, 10662, 13947]"
supposer,5.0,"[1823, 7326, 8002, 13877, 21181]"
terminer,5.0,"[1971, 8259, 15716, 20645, 24771, 24878, 24916, 25239]"
ajouter,4.0,"[8257, 10198, 12681, 20419]"
apporter,4.0,"[1077, 4226, 4251, 7550]"
bac,4.0,"[10669, 10671, 10845, 10848]"
complémentaire,4.0,"[15462, 15471, 17300, 17675]"
construction,4.0,"[17914, 17937, 17955, 19130]"
gain,4.0,"[12607, 12767, 12796, 12802]"
gouverner,4.0,"[1787, 1807, 7289, 7315]"
investir,4.0,"[7787, 9748, 10011, 10095]"
investissement,4.0,"[10063, 13285, 17976, 17980]"
jour,4.0,"[7356, 17946, 20330, 23034]"
madame,4.0,"[10537, 10991, 10996, 13006]"
nécessité,4.0,"[1975, 7768, 20129]"
obtenir,4.0,"[2052, 10130, 10138, 24754]"
paralyser,4.0,"[1959, 6758, 7829, 7900]"
règlement,4.0,"[2096, 3714, 22534, 22577]"
troisièmement,4.0,"[8027, 10454, 13734, 21147]"
accession,3.0,"[17286, 17587, 17714]"
améliorer,3.0,"[7758, 9629, 15483]"
apercevoir,3.0,"[4044, 5537, 20327]"
cohabitation,3.0,"[6366, 6648, 6743]"
conquête,3.0,"[9744, 25206, 25233]"
demain,3.0,"[5625, 7436, 21080]"
dirigeant,3.0,"[1728, 5725, 7729]"
encourager,3.0,"[12668, 20686, 21126, 25176]"
espèce,3.0,"[3660, 3858, 22721]"
excessif,3.0,"[1770, 6635, 21140]"
formation,3.0,"[8196, 8249, 10661]"
imposer,3.0,"[7703, 10207, 24800]"
indemniser,3.0,"[8316, 8326, 8392]"
indiquer,3.0,"[15522, 18960, 19010]"
innover,3.0,"[7782, 9747, 10093]"
juger,3.0,"[3519, 3524, 4063]"
lorsque,3.0,"[3593, 12576, 13845]"
officiel,3.0,"[2003, 4285, 5533]"
oublier,3.0,"[10368, 15580, 20891]"
ouvrir,3.0,"[3935, 3939, 15472]"
oxygène,3.0,"[7777, 7853, 17211]"
paraître,3.0,"[1766, 13040]"
poids,3.0,"[4103, 11408, 24730]"
probablement,3.0,"[4396, 4536, 24710]"
quotidien,3.0,"[1067, 4125, 25139]"
retrouver,3.0,"[6775, 25215, 25280]"
richesse,3.0,"[9822, 9877, 13235]"
règle,3.0,"[10031, 18965, 19006]"
réellement,3.0,"[1626, 23386, 25009]"
répartir,3.0,"[9782, 9789, 25076]"
septennat,3.0,"[5820, 13220, 24946]"
spéculation,3.0,"[10044, 18631, 18637]"
substituer,3.0,"[1848, 10048, 23040]"
suivant,3.0,"[5571, 7650, 9870, 24939]"
supérieur,3.0,"[1989, 5594, 10422]"
vieux,3.0,"[24494, 24552, 24553]"
actualité,2.0,"[343, 3923, 7460, 23626]"
affecter,2.0,"[13654, 13727]"
agissant,2.0,"[4211, 7681]"
appréciation,2.0,"[6637, 18621]"
argent,2.0,"[8363, 10022]"
assister,2.0,"[1536, 16990]"
bord,2.0,"[6348, 16980]"
bravo,2.0,"[9632, 23276]"
bref,2.0,"[20883, 21059]"
brut,2.0,"[10548, 13011]"
bruxelles,2.0,"[14497, 21202]"
certes,2.0,"[7431, 13161]"
champ,2.0,"[2040, 4170]"
comité,2.0,"[15738, 15744]"
complet,2.0,"[4307, 22868]"
complètement,2.0,"[4076, 8223]"
considération,2.0,"[1064, 7925, 25744]"
contester,2.0,"[10290, 22492]"
continuité,2.0,"[7510, 22695]"
coût,2.0,"[7910, 17995]"
cœur,2.0,"[5630, 7725, 9576]"
dangereux,2.0,"[7300, 13045]"
dissoudre,2.0,"[6269, 6318]"
dissuasion,2.0,"[13032, 23262]"
divorce,2.0,"[17570, 17690]"
duhamel,2.0,"[53, 15397, 21021]"
durer,2.0,"[3800, 24891]"
déduction,2.0,"[17927, 17963]"
déplacer,2.0,"[3621, 4471]"
développement,2.0,"[1862, 20513]"
