texte,poids,position
jacques,27.0,"[158, 584, 2148, 2221, 3355, 3480, 4857, 8428, 9213, 9245, 9314, 11111, 11387, 11622, 14742, 15806, 16038, 16872, 18263, 19193, 19378, 21250, 21899, 22050, 22071, 22213, 22345, 22393, 25549]"
balladur,9.0,"[6855, 8819, 9375, 13127, 14108, 15669, 16439, 16513, 24002]"
choix,9.0,"[389, 571, 6906, 6935, 7245, 8726, 12418, 12427, 13529, 21270, 21930]"
femme,8.0,"[780, 12055, 12087, 15325, 16118, 19699, 19794, 25585]"
lutte,8.0,"[8729, 8744, 9095, 9431, 9548, 23948, 24123, 24171]"
maîtriser,7.0,"[1349, 8865, 12136, 13473, 14820, 15106, 15181]"
ministres,7.0,"[3197, 3222, 5999]"
priorité,7.0,"[15969, 16233, 16359, 16371, 16583, 18366, 21660, 23425]"
absolument,6.0,"[5157, 5224, 5264, 10759, 20799, 20851]"
conférence,6.0,"[15147, 21759, 21805, 22241, 24195, 24212]"
fonctionner,6.0,"[2427, 2431, 2680, 2700, 2979, 2993]"
garantie,6.0,"[2423, 2648, 3026, 5390, 16308, 16685]"
hlm,6.0,"[16429, 16488, 16576, 16579, 16651, 16680]"
sembler,6.0,"[2577, 3774, 11346, 13494, 14725, 15041]"
tourner,6.0,"[2600, 19381, 20712, 25382, 25387, 25404]"
aborder,5.0,"[692, 2395, 5942, 8490, 11077, 16823, 25396]"
assez,5.0,"[2190, 2372, 7213, 11802, 14335, 16284, 23656]"
côté,5.0,"[8783, 8789, 14275, 15048, 20832]"
discours,5.0,"[1236, 1238, 1241, 4669, 15804]"
jouer,5.0,"[6965, 6976, 8797, 12293, 15172, 20602]"
opérer,5.0,"[2989, 3217, 3239, 14867, 22392]"
réhabilitation,5.0,"[16486, 16520, 16568, 18550, 18691]"
suffire,5.0,"[2407, 2659, 3019, 3244, 12037]"
actuellement,4.0,"[15206, 16431, 16522, 19708]"
allègement,4.0,"[9006, 11244, 12162, 12182]"
ampleur,4.0,"[2216, 2489, 9536, 13801]"
conçu,4.0,[6172]
histoire,4.0,"[2341, 16181, 23921, 23940]"
honnêtement,4.0,"[5931, 6980, 9404, 17146]"
identité,4.0,"[19845, 19862, 19907, 20003]"
installation,4.0,"[21259, 21298, 21315, 21451]"
juppé,4.0,"[6876, 14782, 24055, 24072]"
largement,4.0,"[3384, 3388, 3453, 15950]"
logique,4.0,"[2402, 6291, 6497, 8425]"
moitié,4.0,"[5279, 11192, 11660, 23117]"
métallurgie,4.0,"[11917, 11932, 12779, 12791]"
personnellement,4.0,"[13868, 14227, 22207, 24182]"
peur,4.0,"[11327, 16150, 16158, 22343]"
pme,4.0,"[11180, 11183, 11301, 11468]"
pmi,4.0,"[11181, 11185, 11298, 11465]"
précarité,4.0,"[14940, 16206, 16780, 17081]"
préconiser,4.0,"[9045, 11237, 24181, 24306, 24335]"
préoccuper,4.0,"[11225, 11230, 16105, 22370]"
présent,4.0,"[14323, 14345, 21746, 25468]"
raisonnement,4.0,"[6394, 6800, 11597, 23789]"
russie,4.0,"[23779, 23834, 23852, 23911]"
