jacques,12.0,"[148, 717, 743, 2828, 3365, 3636, 5240, 5599, 5826, 5981, 6596, 7296, 8687]"
répondre,7.0,"[91, 3400, 3426, 3770, 3788, 7303, 8645, 8723, 9268, 9285]"
tour,6.0,"[114, 2317, 2385, 5297, 9591, 9595]"
choix,5.0,"[135, 2371, 2400, 2441, 4350, 8718]"
discours,5.0,"[478, 480, 483, 1309, 5597]"
balladur,4.0,"[2320, 4091, 4836, 5463]"
exemple,4.0,"[3726, 5085, 5744, 7790, 8694]"
propositions,4.0,"[162, 5521, 5761, 9630]"
quoi,4.0,"[191, 2087, 5705, 8463, 9031]"
agir,3.0,"[2088, 9346, 9350]"
clandestine,3.0,"[7351, 7367, 7386, 7490, 7559, 8052, 8072]"
communauté,3.0,"[4895, 8955, 9357]"
connu,3.0,"[1409, 4520, 6170]"
différence,3.0,"[3747, 5624, 6014, 8715]"
démocratie,3.0,"[400, 419, 9228, 9251]"
entreprise,3.0,"[4988, 5003, 5132]"
européenne,3.0,"[4898, 4903, 8674]"
femmes,3.0,"[254, 7675, 7766]"
immigration,3.0,"[5940, 7273, 7290, 7327, 7350, 7366, 7385, 7489, 8051, 8071]"
laisser,3.0,"[3384, 6116, 6971, 7264]"
logique,3.0,"[1909, 2114, 2825]"
là-dessus,3.0,"[5195, 5929, 8797, 8864, 8911]"
moitié,3.0,"[1443, 3444, 8901]"
monde,3.0,"[216, 434, 2600, 8161, 8821]"
mouvement,3.0,"[226, 8263, 8272]"
pendant,3.0,"[1253, 4273, 6161, 9586]"
programme,3.0,"[4831, 4843, 5517]"
raisonnement,3.0,"[2012, 2266, 9190]"
russie,3.0,"[9180, 9235, 9253]"
sais,3.0,"[8393, 8460, 8852, 9265]"
thème,3.0,"[2434, 2818, 2849, 4558, 5209, 5248, 5329, 5640, 8124, 8511]"
tourné,3.0,"[9654, 9659, 9676]"
venir,3.0,"[5742, 6599, 8675]"
égard,3.0,"[146, 2361, 9177]"
absolument,2.0,"[1428, 3199]"
actuel,2.0,"[4490, 6820, 7487, 8365]"
agit,2.0,"[5861, 6293]"
ah,2.0,"[3138, 9289]"
aime,2.0,"[8537, 8952]"
air,2.0,"[5068, 5095, 5164]"
alléger,2.0,"[3683, 4693]"
argument,2.0,"[1663, 1691]"
associatif,2.0,"[8264, 8273]"
biens,2.0,"[6860, 6889]"
bosnie,2.0,"[9118, 9258, 9262, 9311]"
certains,2.0,"[2337, 3713]"
commencer,2.0,"[85, 2881, 2888, 5655, 5719, 8585, 9139]"
conceptions,2.0,"[159, 8667]"
consiste,2.0,"[1332, 9205]"
creusé,2.0,"[4486, 4492]"
cumul,2.0,"[1756, 1787]"
deuxième,2.0,"[2432, 5296, 7470]"
différentes,2.0,"[163, 4331]"
direction,2.0,"[3035, 3516]"
disons,2.0,"[3631, 3666]"
doute,2.0,"[5800, 8601]"
droits,2.0,"[3501, 8493]"
eltsine,2.0,"[9184, 9233]"
entendent,2.0,"[4866, 6288]"
faisait,2.0,"[6349, 6361]"
faisons,2.0,"[117, 7536]"
façon,2.0,"[1321, 7452]"
fermeté,2.0,"[9398, 9401]"
financement,2.0,"[4264, 4278, 4547]"
gauche,2.0,"[2925, 7217]"
genre,2.0,"[457, 1327, 9712]"
grosses,2.0,"[3572, 3677]"
haberer,2.0,"[6936, 6977]"
instant,2.0,"[1266, 2005, 6000]"
institutionnels,2.0,"[1675, 1684]"
intention,2.0,"[4827, 4853]"
inter,2.0,"[5069, 5096]"
jean-maxime,2.0,"[6923, 6974]"
juppé,2.0,"[2341, 5279]"
laissé,2.0,"[4327, 8637]"
lequel,2.0,"[431, 3178, 4813, 5714]"
lieutenants,2.0,"[2340, 4232]"
lévêque,2.0,"[6924, 6975]"
marchands,2.0,"[6858, 6887]"
moi-même,2.0,"[2902, 5243]"
moment,2.0,"[4394, 9087, 9420, 9511]"
métallurgie,2.0,"[3969, 3981]"
mêmes,2.0,"[700, 1372]"
normal,2.0,"[3381, 3397]"
paix,2.0,"[9372, 9382]"
passé,2.0,"[342, 2314, 9679]"
pme,2.0,"[3435, 3553]"
pmi,2.0,"[3437, 3550]"
pose,2.0,"[395, 412, 8993]"
possible,2.0,"[111, 4021, 4367]"
pourtant,2.0,"[238, 3144]"
proposé,2.0,"[1381, 9622]"
proposée,2.0,"[936, 5435]"
protection,2.0,"[4267, 4281, 4550]"
protester,2.0,"[192, 439]"
préoccupe,2.0,"[3477, 3482]"
puisqu,2.0,"[6603, 8647, 9140]"
reconnais,2.0,"[2900, 2945]"
relève,2.0,"[1696, 7698]"
rencontrés,2.0,"[258, 1747]"
région,2.0,"[3462, 8474]"
régulier,2.0,"[7727, 7781]"
réhabilitation,2.0,"[6776, 6892]"
réponds,2.0,"[3056, 7638]"
sait,2.0,"[3528, 4102]"
santé,2.0,"[4300, 5947, 8223]"
sauf,2.0,"[150, 7406]"
scientifique,2.0,"[8956, 8971]"
semble-t-il,2.0,"[3597, 4317]"
singulière,2.0,"[9165, 9173]"
succession,2.0,"[3503, 3524]"
suivre,2.0,"[266, 274]"
symbolique,2.0,"[7757, 8062]"
terme,2.0,"[1493, 9414]"
titre,2.0,"[7726, 7778]"
toute,2.0,"[7451, 7897]"
traditionnellement,2.0,"[736, 8609]"
traiter,2.0,"[6178, 8521, 9602]"
voté,2.0,"[1369, 3168]"
éliront,2.0,"[2033, 2067]"
éloignent,2.0,"[5875, 5888]"
élément,2.0,"[6643, 8696]"
abandonnée,1.0,[5459]
aborder,1.0,"[5935, 9668]"
aborderons,1.0,[1708]
absurde,1.0,[7793]
accords,1.0,[7546]
action,1.0,[2906]
activité,1.0,[9317]
actuelle,1.0,"[7696, 9111]"
actuellement,1.0,[7684]
affirmations,1.0,[1630]
agréables,1.0,[2353]
ai-je,1.0,[5970]
ainsi,1.0,[3274]
allègement,1.0,[3496]
alternative,1.0,[9417]
amis,1.0,[3105]
ampleur,1.0,[4530]
américains,1.0,[9195]
ancien,1.0,[6896]
annoncé,1.0,[4111]
anormal,1.0,[724]
antagonisme,1.0,[143]
apparaît,1.0,[1908]
apparemment,1.0,[5293]
appelé,1.0,[3279]
approche,1.0,[8685]
appui,1.0,[8260]
après,1.0,"[56, 9030, 9565]"
arrive,1.0,"[531, 1351, 8397]"
arrêtez-vous,1.0,[4352]
article,1.0,[5277]
assemblées,1.0,[1377]
assumer,1.0,[5103]
