texte,poids,position
aide,13.0,"[2497, 3621, 4362, 4419, 7780, 9199, 9638, 15966, 18269, 18277, 18327, 22346, 22520]"
demain,11.0,"[1911, 2030, 4334, 8346, 9946, 14430, 15761, 16044, 16832, 16871, 19558, 22548]"
compte,7.0,"[639, 1218, 1915, 11742, 12004, 12317, 12338, 12501, 13274, 13904, 14779, 19435, 21644, 24869, 24875]"
efficace,7.0,"[1163, 2348, 2542, 17822, 24745, 24859, 25966]"
ensuite,7.0,"[3934, 6427, 8504, 13297, 21487, 23407, 24709]"
difficile,6.0,"[3691, 7670, 11784, 22888, 23152, 23321]"
doute,6.0,"[1181, 4622, 16856, 16940, 24434, 24538]"
forme,6.0,"[1139, 2470, 4078, 5921, 17646, 26061]"
écart,6.0,"[11809, 11819, 12288, 18582, 19203, 22537]"
accès,5.0,"[6198, 9796, 9802, 17158, 17172, 23699, 26185]"
consulter,5.0,"[19690, 19959, 20552, 20755, 20761]"
exonérer,5.0,"[6003, 6352, 8598, 8669, 14328]"
nécessaire,5.0,"[3759, 3990, 5597, 8514, 11288]"
priorité,5.0,"[2287, 4196, 9560, 14083, 14212]"
prison,5.0,"[3866, 3902, 3929, 3962, 4095]"
technologie,5.0,"[7942, 10000, 14177, 16906, 21474]"
auprès,4.0,"[7790, 18404, 19253, 22224]"
autant,4.0,"[2164, 4382, 7581, 15983]"
chèque,4.0,"[8460, 14792, 14941, 14952]"
conquérir,4.0,"[4397, 4620, 4630, 22039]"
démocratique,4.0,"[20919, 20999, 24384, 25250]"
gaspillage,4.0,"[2472, 2526, 5870, 5923]"
investissement,4.0,"[4444, 8788, 16535, 19743]"
justement,4.0,"[3609, 16870, 16885, 22208]"
lutte,4.0,"[4074, 4241, 26057]"
montée,4.0,"[1074, 2223, 4225, 15817]"
patrimoine,4.0,"[14333, 14781, 14911, 14936]"
pauvreté,4.0,"[953, 964, 11422, 11979]"
plusieurs,4.0,"[4623, 14201, 19729, 22221]"
recruter,4.0,"[5624, 5628, 6022, 8650]"
retirer,4.0,"[2327, 5590, 15025, 24848]"
revanche,4.0,"[2403, 8690, 22128, 22160]"
règle|règles,4.0,"[115, 1150, 14371, 23440, 23738]"
récemment,4.0,"[2232, 3667, 7936, 23490]"
supérieur,4.0,"[4639, 11512, 11797, 24678]"
tremplin,4.0,"[6296, 6331, 6363, 6425]"
université,4.0,"[9744, 9771, 9794, 9813]"
zéro,4.0,"[1066, 2900, 2921, 14141]"
également,4.0,"[2001, 2515, 8190, 24444]"
accident,3.0,"[11846, 11861, 11881]"
agent,3.0,"[2040, 2081, 2200]"
appliquer,3.0,"[8262, 14472, 21512, 24498]"
auxiliaire,3.0,"[18280, 18303, 19272]"
avenir,3.0,"[2260, 25287, 25907]"
bataille,3.0,"[1118, 6565, 8719, 19761]"
carrière,3.0,"[999, 1006, 8108]"
centre,3.0,"[4046, 4121, 9747]"
citoyen,3.0,"[16563, 19447, 24780]"
combustible,3.0,"[16715, 16874, 16882]"
commune,3.0,"[2514, 14422, 14443, 17292]"
connaissance,3.0,"[8725, 9951, 25320]"
coopération,3.0,"[20886, 21026, 22304]"
dialogue,3.0,"[4505, 4535, 8412]"
diplômé,3.0,"[6191, 6488, 9920]"
décentralisation,3.0,"[2408, 5824, 24739]"
désormais,3.0,"[3877, 8469, 24468]"
eau,3.0,"[14181, 15777, 15958]"
enrichissement,3.0,"[21402, 21431, 21477]"
envie,3.0,"[9922, 22420, 22436]"
fatiguer,3.0,"[7676, 11775, 24393]"
fermer,3.0,"[4047, 16210, 21011, 22261]"
humainement,3.0,"[22890, 23194, 23376]"
immoralité,3.0,"[18201, 18514, 18718]"
industrie,3.0,"[4612, 9948, 16016]"
insécurité,3.0,"[1141, 1145, 26063]"
interrompre,3.0,"[2626, 11521, 11731]"
intervenir,3.0,"[22215, 22223, 24782]"
intégration,3.0,"[18282, 18305, 19274]"
jouer,3.0,"[18216, 22172, 23273]"
lutter,3.0,"[2466, 4261, 5917, 11878]"
maintenir,3.0,"[2400, 5580, 16791]"
maternel,3.0,"[12007, 18440, 18454]"
métier,3.0,"[11782, 11964, 14169]"
parmi,3.0,"[965, 18267, 19640]"
pauvre,3.0,"[934, 15793, 22543]"
pilier,3.0,"[4330, 24729, 24755]"
planétaire,3.0,"[15742, 15755, 15831]"
profond,3.0,"[8340, 15962, 24424]"
pénurie,3.0,"[16708, 16713, 16892]"
relâcher,3.0,"[3851, 3891, 3939]"
rentrée,3.0,"[2181, 18492]"
subir,3.0,"[1012, 11844, 14543]"
suffisamment,3.0,"[5982, 5990, 6122]"
syndical,3.0,"[8327, 8403, 8461]"
syndicat,3.0,"[4542, 8367, 8386]"
sérieux,3.0,"[8214, 17669, 17870]"
technique,3.0,"[11736, 16449, 17745]"
écologique,3.0,"[4595, 4608, 15885]"
éducateur,3.0,"[18270, 18278, 18328]"
acceptable,2.0,"[18601, 23076]"
agressivité,2.0,"[1079, 1108]"
alarme,2.0,"[2253, 8770]"
amont,2.0,"[4559, 23434]"
approche,2.0,[16440]
attention,2.0,"[14317, 16813]"
bloc,2.0,"[24397, 24399]"
bouger,2.0,"[21869, 22283]"
bouquet,2.0,"[16804, 16927]"
boursier,2.0,"[11192, 12064]"
brutal,2.0,"[12601, 21060]"
carte,2.0,[13287]
caution,2.0,"[14529, 14574]"
centaine,2.0,"[4624, 14202]"
chevauchement,2.0,"[2430, 2523]"
claquer,2.0,"[20902, 21086]"
code,2.0,"[7819, 7835]"
cohérence,2.0,"[5810, 13351]"
collègue,2.0,"[1998, 2146]"
consolider,2.0,"[8508, 20929]"
consommation,2.0,"[11473, 16092]"
construction,2.0,"[14115, 14413, 19563]"
contrairement,2.0,"[7963, 22091]"
contrepartie,2.0,"[8680, 9444]"
convaincre,2.0,"[22218, 22271]"
cpe,2.0,"[24802, 24836]"
difficulté,2.0,"[8252, 13896]"
diminution,2.0,"[2085, 2685]"
dispositif,2.0,"[13353, 14612]"
dynamique,2.0,"[9584, 10024]"
déchet,2.0,"[16846, 16863]"
décret,2.0,"[24521, 24582]"
défendre,2.0,"[16123, 26045]"
déformer,2.0,"[5570, 22078]"
déployer,2.0,"[9662, 10048]"
employeur,2.0,"[6008, 8649]"
enjeu,2.0,"[8708, 22902]"
entraîner,2.0,"[5841, 6958]"
exploiter,2.0,"[22914, 23170]"
exprimer,2.0,"[15933, 21379, 22597]"
expérience,2.0,"[6211, 25981]"
fil|fils,2.0,"[22991, 23071]"
gagnant,2.0,"[9454, 9455]"
gratuit,2.0,"[1052, 9800]"
gris,2.0,"[9890, 9906]"
handiscole,2.0,"[18247, 18322]"
impartialité,2.0,"[24632, 24691]"
incompatible,2.0,"[4319, 22233]"
indice,2.0,"[11444, 11449]"
innovation,2.0,"[4447, 8735]"
inquiet,2.0,"[2257, 12099]"
inquiéter,2.0,"[1070, 1952]"
instant,2.0,"[20776, 20989]"
intention,2.0,"[19158, 23168]"
inégalité,2.0,"[1134, 6229]"
lien,2.0,"[3793, 6517]"
lier,2.0,"[14178, 18297]"
