texte,poids,position
cotiser,10.0,"[9296, 10474, 10574, 10585, 12260, 12360, 12766, 12775, 12787, 12809]"
gauche,10.0,"[1419, 1693, 1835, 6555, 7062, 12154, 12370, 13731, 19375, 24251, 24256]"
lourd,10.0,"[5370, 13186, 13518, 13616, 13643, 15235, 15249, 15276, 19122, 19124]"
socialiste,9.0,"[2605, 2646, 2763, 5101, 6660, 6723, 20497, 20520, 22641]"
résultat,8.0,"[522, 548, 867, 3130, 13521, 17843, 18101, 22754]"
immigration,7.0,"[20194, 20258, 21705, 21817, 22300, 22566, 22725, 22752, 23349, 25518]"
répondre,7.0,"[1280, 2565, 4747, 7604, 8803, 10079, 11049, 11075, 12137, 17346, 23534, 23763, 23786, 24909]"
union,7.0,"[13489, 20092, 20679, 20689, 21301, 21533, 21692]"
moitié,6.0,"[1781, 1807, 14688, 14889, 16120, 16137]"
produit,6.0,"[15062, 15107, 15114, 15158, 15203, 15215]"
scolariser,6.0,"[17920, 17975, 18873, 19056, 19235, 22701]"
aimer,5.0,"[7537, 10731, 14988, 15013, 19054]"
ami,5.0,"[1323, 6827, 21118, 24158, 25088]"
base,5.0,"[5172, 17377, 17508, 20150, 20415]"
changement,5.0,"[692, 23952, 24022, 24028, 25467]"
confirmer,5.0,"[11652, 15293, 16077, 16099, 16216]"
dignité,5.0,"[286, 7422, 18971, 19087, 25531]"
employer,5.0,"[17584, 18836, 18854, 19490, 25596]"
homme,5.0,"[13447, 18030, 24246, 24302, 24308]"
jospin,5.0,"[1481, 6906, 6930, 6953, 11247]"
obtenir,5.0,"[865, 3343, 4962, 12436, 22748]"
poids,5.0,"[13685, 15234, 15248, 15275, 15711]"
promesse,5.0,"[18041, 18067, 23643, 25418, 25783]"
rentrer,5.0,"[2141, 2836, 17383, 17431, 17457, 20731]"
simple,5.0,"[343, 3540, 12272, 12381, 13126, 21307]"
acheter,4.0,"[10767, 15082, 15123, 16328]"
budget,4.0,"[1607, 1645, 5650, 5653]"
calme,4.0,"[427, 18645, 18735, 19463]"
capital,4.0,"[13452, 13555, 13560, 13572]"
csg,4.0,"[5302, 5321, 11643, 12823]"
curieux,4.0,"[10567, 14998, 21940, 23948]"
maison,4.0,"[9078, 10919, 17386, 17434]"
mari,4.0,"[10668, 15669, 15685, 15693]"
respect,4.0,"[17240, 17315, 17779, 25131]"
règle,4.0,"[20182, 20198, 20218, 20223]"
unanimité,4.0,"[20185, 20201, 20226, 20721]"
vieux,4.0,"[16239, 16394, 16411, 18187]"
égalité,4.0,"[2557, 10464, 10558, 10596, 12798]"
affaire,3.0,"[418, 458, 17896]"
ambition,3.0,"[10695, 15487, 17268]"
apprendre,3.0,"[12854, 17953, 21804]"
asie,3.0,"[20648, 21174, 21313]"
bayrou,3.0,"[23875, 24216, 24240]"
campagne,3.0,"[1592, 22578, 25002, 25156, 25799]"
catastrophique,3.0,"[1310, 3076, 10661]"
concurrent,3.0,"[13623, 18926, 25193]"
contribuable,3.0,"[7231, 9272, 13635]"
