texte,poids,position
gauche,9.0,"[1013, 1286, 4493, 4995, 8835, 9048, 10327, 15597, 20080, 20085]"
impôts,9.0,"[6387, 9993, 10008, 10028, 10060, 10069, 10108, 10210, 10237, 10668, 12239]"
socialiste,9.0,"[1543, 1583, 1699, 3370, 4598, 4661, 16417, 16440, 18492]"
venir,7.0,"[11801, 17532, 17588, 17603, 17640, 17664, 17672]"
immigration,6.0,"[16116, 16180, 17569, 17680, 18158, 18418, 18575, 18602, 19188]"
moitié,6.0,"[1374, 1400, 11280, 11480, 12471, 12488]"
produits,6.0,"[11652, 11697, 11704, 11748, 11791, 11803]"
union,6.0,"[10085, 16014, 16598, 16608, 17399, 17556]"
base,5.0,"[3441, 13715, 13846, 16072, 16337]"
coeur,5.0,"[16595, 16605, 19382, 19487, 19538]"
cotisent,5.0,"[7646, 7757, 9444, 9452, 9464]"
jospin,5.0,"[1075, 4842, 4866, 4888, 8116]"
lourds,5.0,"[10212, 10239, 11823, 11837, 11864]"
payer,5.0,"[6249, 8331, 8943, 12244, 12285]"
poids,5.0,"[10281, 11822, 11836, 11863, 12298]"
répondre,5.0,"[875, 1504, 3019, 5080, 6061, 7249, 8820, 13684, 19367, 20339]"
scolarisés,5.0,"[14206, 15097, 15279, 15457, 18551]"
agissant,4.0,"[3132, 6120, 11869, 12013]"
amis,4.0,"[917, 17034, 19987, 20517]"
calme,4.0,"[422, 14871, 14961, 15682]"
conseil,4.0,"[3710, 4848, 4870, 4876]"
cotiser,4.0,"[6472, 7746, 8939, 9039]"
expliquer,4.0,"[1214, 5031, 7741, 19879]"
grande,4.0,"[111, 9688, 9704, 14299, 17043]"
lourdes,4.0,"[9859, 10114, 15345, 15347]"
mari,4.0,"[7838, 12256, 12272, 12280]"
policiers,4.0,"[1535, 1553, 1689, 6222]"
propres,4.0,"[11653, 11698, 11705, 11784]"
respect,4.0,"[13578, 13653, 14011, 20560]"
rue,4.0,"[19050, 19092, 19111, 19659]"
règle,4.0,"[16104, 16120, 16140, 16145]"
résultats,4.0,"[515, 541, 14330, 18604]"
seul,4.0,"[1786, 3291, 3307, 4658]"
unanimité,4.0,"[16107, 16123, 16148, 16640]"
vivre,4.0,"[6481, 8934, 11992, 17653]"
égalité,4.0,"[1496, 7636, 7730, 7768, 9474]"
élément,4.0,"[9129, 11737, 16018, 16098]"
affaire,3.0,"[413, 452, 14127]"
allez-vous,3.0,"[3362, 5334, 12962]"
année,3.0,"[628, 8134, 11289]"
augmentez,3.0,"[8298, 9842, 9863]"
bayrou,3.0,"[19704, 20045, 20069]"
budget,3.0,"[1238, 3593, 3596]"
capital,3.0,"[10151, 10156, 10168]"
