texte,poids,position
contre,11.0,"[817, 2353, 2520, 2540, 3859, 4504, 8561, 8567, 15881, 15885, 15889, 20227]"
demain,9.0,"[1436, 2612, 5815, 7116, 11025, 12347, 13176, 13214, 15777, 18401]"
aides,7.0,"[1900, 2697, 5254, 6375, 14496, 14504, 14554]"
réponse,7.0,"[1644, 2286, 2302, 2426, 2450, 5990, 7225]"
sorte,7.0,"[102, 4245, 7074, 7088, 7102, 11091, 14644, 20284]"
allée,6.0,"[5458, 7286, 17868, 17887, 17905, 18236]"
injustices,6.0,"[8389, 8393, 9929, 10914, 14880, 15549]"
plan,6.0,"[4062, 5477, 10748, 11006, 14473, 14548]"
associations,5.0,"[13305, 14516, 14621, 15472, 16801]"
ensuite,5.0,"[2213, 4365, 5971, 17355, 19244]"
écart,5.0,"[8492, 8502, 8967, 14809, 15425]"
accès,4.0,"[4136, 6969, 6975, 13496, 13510, 19531]"
actes,4.0,"[14815, 15417, 15559, 15660]"
aide,4.0,"[2640, 6811, 18203, 18373]"
auprès,4.0,"[5264, 14631, 15475, 18082]"
branche,4.0,"[5345, 5347, 6013, 6015]"
chèque,4.0,"[5927, 11383, 11532, 11543]"
colères,4.0,"[14885, 14901, 15001, 15544]"
comptes,4.0,"[1440, 9179, 10500, 15655]"
conquérir,4.0,"[2675, 2895, 2905, 17899]"
difficiles,4.0,"[1970, 5145, 8467, 18996]"
doute,4.0,"[2897, 13200, 13283, 20263]"
justement,4.0,"[1888, 13213, 13228, 18066]"
laissez,4.0,"[5526, 5531, 14690, 14727]"
mis,4.0,"[2809, 9378, 9433, 17960]"
tribunaux,4.0,"[13864, 14083, 14694, 14796]"
zéro,4.0,"[830, 1799, 1820, 10737]"
accidents,3.0,"[8528, 8543, 8563]"
accueillis,3.0,"[14651, 14677, 14772]"
accéder,3.0,"[3682, 10497, 11146]"
activité,3.0,"[4264, 4337, 6990]"
allons,3.0,"[6096, 6834, 9563, 19585]"
auxiliaires,3.0,"[14507, 14530, 15494]"
carrière,3.0,"[763, 770, 5579]"
centres,3.0,"[2324, 2399, 6920]"
combustible,3.0,"[13060, 13217, 13225]"
demandé,3.0,"[7959, 14477, 18944]"
dialogue,3.0,"[2783, 2813, 5880]"
discussions,3.0,"[5965, 5977, 8014]"
discuteront,3.0,"[5344, 5767, 8071]"
démarches,3.0,"[14629, 14696, 17992]"
démocratique,3.0,"[16916, 20213, 20679]"
désormais,3.0,"[2156, 5936, 20297]"
enrichissement,3.0,"[17271, 17299, 17345]"
entrer,3.0,"[4182, 4217, 16497]"
envie,3.0,"[7094, 18276, 18292]"
fait-il,3.0,"[18330, 18347, 18358]"
fatigués,3.0,"[5151, 8458, 20222]"
ferons,3.0,"[4094, 8740, 19179]"
fins,3.0,"[17307, 17351, 17359]"
formes,3.0,"[2356, 3862, 13878]"
humainement,3.0,"[18740, 19037, 19215]"
immoralité,3.0,"[14428, 14741, 14944]"
intégration,3.0,"[14509, 14532, 15496]"
investir,3.0,"[13026, 13167, 13202]"
lutte,3.0,"[2352, 2519, 8560]"
montée,3.0,"[838, 2503, 12401]"
métiers,3.0,"[8465, 8646, 10764]"
nécessaires,3.0,"[2038, 3540, 5981]"
parmi,3.0,"[729, 14494, 15858]"
patrimoine,3.0,"[11372, 11502, 11527]"
pauvres,3.0,"[699, 12377, 18396]"
pauvreté,3.0,"[718, 728, 8661]"
planétaire,3.0,"[12328, 12341, 12415]"
plusieurs,3.0,"[2898, 10796, 18079]"
pouvons,3.0,"[2013, 8683, 10794]"
priorité,3.0,"[2474, 10679, 10807]"
prison,3.0,"[2181, 2208, 2373]"
proposition,3.0,"[1930, 3881, 3900]"
pénurie,3.0,"[13053, 13058, 13235]"
relâchés,3.0,"[2130, 2170, 2218]"
règles,3.0,"[115, 10966, 19277, 19570]"
récemment,3.0,"[1946, 5408, 19325]"
saines,3.0,"[14886, 15003, 15545]"
soins,3.0,"[2179, 2183, 2203]"
suffisamment,3.0,"[3922, 3930, 4060]"
supprimé,3.0,"[14544, 14552, 15492]"
syndicats,3.0,"[2820, 5836, 5855]"
sérieux,3.0,"[5683, 13901, 14102]"
technologie,3.0,"[5414, 7170, 17342]"
telles,3.0,"[5229, 9541, 11039]"
termine,3.0,"[5891, 5910, 19321]"
tient,3.0,"[3096, 3104, 3609]"
tremplins,3.0,"[4234, 4301, 4363]"
université,3.0,"[6944, 6967, 6986]"
viens,3.0,"[8975, 14438, 18880]"
éducateurs,3.0,"[14497, 14505, 14555]"
élevé,3.0,"[3985, 3992, 8637]"
élue,3.0,"[663, 2338, 5785, 12576]"
acceptable,2.0,"[14828, 18920]"
allez-y,2.0,"[4935, 5083]"
allégements,2.0,"[2662, 2709]"
amont,2.0,"[2835, 19271]"
apporter,2.0,"[5978, 6578, 7223]"
approche,2.0,"[8578, 12786]"
arrivent,2.0,"[4214, 11143]"
arrivées,2.0,"[7525, 7562]"
