position,texte,rien
0,Bonsoir,bonsoir
1,à,à
2,tous,tout
3,.,.
4,Merci,merci
5,de,de
6,nous,nous
7,accueillir,accueillir
8,chez,chez
9,vous,vous
10,.,.
11,Nous,nous
12,sommes,sommer|être
13,en,en
14,direct,direct
15,du,du
16,studio,studio
17,de,de
18,la,le
19,maison,maison
20,de,de
21,la,le
22,radio,radio
23,à,à
24,paris,paris
25,pour,pour
26,ce,ce
27,débat,débat
28,qui,qui
29,est,être
30,évidemment,évidemment
31,très,très
32,attendu,attendre
33,et,et
34,extrêmement,extrêmement
35,solennel,solennel
36,.,.
37,Chirac,chirac
38,bonsoir,bonsoir
39,merci,merci
40,d,d
41,être,être
42,avec,avec
43,nous,nous
44,.,.
45,Bonsoir,bonsoir
46,.,.
47,Jospin,jospin
48,bonsoir,bonsoir
49,.,.
50,Bonsoir,bonsoir
51,.,.
52,Alain,alain
53,duhamel,duhamel
54,bonsoir,bonsoir
55,.,.
56,Bonsoir,bonsoir
57,.,.
58,Dans,dans
59,un,un
60,premier,premier
61,temps,temps
62,nous,nous
63,allons,aller
64,évidemment,évidemment
65,établir,établir
66,les,le
67,règles,règle|règles
68,du,du
69,jeu,jeu
70,qui,qui
71,sont,être
72,extrêmement,extrêmement
73,simples,simple
74,.,.
75,Vous,vous
76,savez,savoir
77,que,que
78,plus,plus
79,les,la|le
80,rendez,rendre
81,vous,vous
82,sont,être
83,importants,important
84,plus,plus
85,les,le
86,règles,règle|règles
87,sont,être
88,simples,simple
89,.,.
90,Après,après
91,alain,alain
92,vous,vous
93,expliquerez,expliquer
94,un,un
95,peu,peu
96,la,le
97,thématique,thématique
98,que,que
99,nous,nous
100,avons,avoir
101,organisée,organiser
102,pour,pour
103,une,un
104,meilleure,meilleur
105,compréhension,compréhension
106,de,de
107,ce,ce
108,débat,débat
109,.,.
110,Ces,ce
111,règles,règle|règles
112,sont,être
113,ce,ce
114,soir,soir
115,au,au
116,nombre,nombre
117,de,de
118,cinq,cinq
119,.,.
120,D,d
121,abord,abord
122,il,il
123,faut,falloir
124,que,que
125,vous,vous
126,sachiez,savoir
127,qu,qu
128,il,il
129,s,s
130,agit,agir
131,d,d
132,un,un
133,débat,débat
134,de,de
135,deux,deux
136,heures,heure
137,.,.
138,A,à
139,la,le
140,fin,fin
141,de,de
142,ce,ce
143,débat,débat
144,de,de
145,deux,deux
146,heures,heure
147,il,il
148,y,y
149,aura,avoir
150,deux,deux
151,conclusions,conclusion
152,de,de
153,trois,trois
154,minutes,minute
155,une,un
156,conclusion,conclusion
157,pour,pour
158,jacques,jacques
159,chirac,chirac
160,et,et
161,une,un
162,conclusion,conclusion
163,pour,pour
164,lionel,lionel
165,jospin,jospin
166,.,.
167,C,c
168,est,être
169,très,très
170,important,important
171,pour,pour
172,notre,notre
173,rôle,rôle
174,nous,nous
175,serons,être
176,là,là
177,avec,avec
178,alain,alain
179,notamment,notamment
180,pour,pour
181,respecter,respecter
182,l,l
183,équité,équité
184,du,du
185,temps,temps
186,de,de
187,parole,parole
188,.,.
189,C,c
190,est,être
191,une,un
192,des,du
193,règles,règle|règles
194,du,du
195,jeu,jeu
196,de,de
197,la,le
198,tradition,tradition
199,démocratique,démocratique
200,.,.
201,Nous,nous
202,vous,vous
203,l,l
204,avons,avoir
205,dit,dire
206,tout,tout
207,à,à
208,l,l
209,heure,heure
210,.,.
211,Il,il
212,y,y
213,aura,avoir
214,effectivement,effectivement
215,une,un
216,thématique,thématique
217,que,que
218,nous,nous
219,avons,avoir
220,mise,mettre
221,au,au
222,point,point
223,qui,qui
224,permettra,permettre
225,de,de
226,ne,ne
227,pas,pas
228,occulter,occulter
229,l,l
230,un,un
231,des,du
232,grands,grand
233,sujets,sujet
234,de,de
235,la,le
236,campagne,campagne
237,électorale,électoral
238,qui,qui
239,vous,vous
240,a,avoir
241,passionnés,passionner
242,.,.
243,Dernier,dernier
244,point,point
245,il,il
246,ne,ne
247,s,s
248,agit,agir
249,en,en
250,aucun,aucun
251,cas,cas
252,vous,vous
253,vous,vous
254,en,en
255,doutez,douter
256,d,d
257,une,un
258,interview,interview
259,des,du
260,deux,deux
261,candidats,candidat
262,à,à
263,la,le
264,présidence,présidence
265,de,de
266,la,le
267,république,république
268,par,par
269,les,le
270,deux,deux
271,modestes,modeste
272,journalistes,journaliste
273,que,que
274,nous,nous
275,sommes,sommer|être
276,.,.
277,Il,il
278,s,s
279,agit,agir
280,et,et
281,là,là
282,encore,encore
283,c,c
284,est,être
285,la,le
286,tradition,tradition
287,d,d
288,un,un
289,débat,débat
290,.,.
291,Il,il
292,y,y
293,a,avoir
294,un,un
295,dernier,dernier
296,petit,petit
297,point,point
298,c,c
299,est,être
300,la,le
301,tirage,tirage
302,au,au
303,sort,sort
304,et,et
305,c,c
306,est,être
307,alain,alain
308,qui,qui
309,va,aller
310,le,le
311,révéler,révéler
312,.,.
313,Le,le
314,tirage,tirage
315,au,au
316,sort,sort
317,a,avoir
318,désigné,désigner
319,pour,pour
320,commencer,commencer
321,jospin,jospin
322,.,.
323,Nous,nous
324,allons,aller
325,donc,donc
326,organiser,organiser
327,ce,ce
328,débat,débat
329,autour,autour
330,de,de
331,quatre,quatre
332,thèmes,thème
333,principaux,principal
334,.,.
335,Le,le
336,premier,premier
337,portera,porter
338,sur,sur
339,les,le
340,questions,question
341,politiques,politique
342,d,d
343,actualité,actualité
344,sur,sur
345,les,le
346,institutions,institution
347,on,on
348,demandera,demander
349,à,à
350,jospin,jospin
351,et,et
352,à,à
353,chirac,chirac
354,de,de
355,réagir,réagir
356,sur,sur
357,les,le
358,résultats,résultat
359,du,du
360,premier,premier
361,tour,tour
362,sur,sur
363,leur,leur
364,conception,conception
365,du,du
366,rôle,rôle
367,de,de
368,la,le
369,présidence,présidence
370,sur,sur
371,l,l
372,impartialité,impartialité
373,de,de
374,l,l
375,etat,etat
376,etc,etc
377,ensuite,ensuite
378,le,le
379,second,second
380,thème,thème
381,portera,porter
382,sur,sur
383,les,le
384,questions,question
385,sociales,social
386,et,et
387,sur,sur
388,les,le
389,choix,choix
390,économiques,économique
391,l,l
392,emploi,emploi
393,bien,bien
394,sûr,sûr
395,qui,qui
396,tiendra,tenir
397,forcément,forcément
398,une,un
399,grande,grand
400,place,place
401,ce,ce
402,soir,soir
403,et,et
404,aussi,aussi
405,la,le
406,fiscalité,fiscalité
407,le,le
408,franc,franc
409,et,et
410,beaucoup,beaucoup
411,d,d
412,autres,autre
413,questions,question
414,.,.
415,Le,le
416,troisième,troisième
417,thème,thème
418,portera,porter
419,sur,sur
420,les,le
421,problèmes,problème
422,de,de
423,sociétés,société
424,les,le
425,banlieues,banlieue
426,l,l
427,exclusion,exclusion
428,le,le
429,logement,logement
430,social,social
431,l,l
432,immigration,immigration
433,etc,etc
434,le,le
435,quatrième,quatrième
436,et,et
437,dernier,dernier
438,thème,thème
439,portera,porter
440,lui,luire
441,sur,sur
442,les,le
443,questions,question
444,européennes,européen
445,et,et
446,internationales,international
447,.,.
448,C,c
449,est,être
450,l,l
451,organisation,organisation
452,que,que
453,nous,nous
454,avons,avoir
455,proposées,proposer
456,à,à
457,chirac,chirac
458,et,et
459,à,à
460,jospin,jospin
461,qui,qui
462,l,l
