position,texte,rien
0,Bonsoir,bonsoir
1,.,.
2,Bonsoir,bonsoir
3,.,.
4,Bonsoir,bonsoir
5,monsieur,monsieur
6,mitterrand,mitterrand
7,.,.
8,Bonsoir,bonsoir
9,.,.
10,Bonsoir,bonsoir
11,monsieur,monsieur
12,chirac,chirac
13,.,.
14,Bonsoir,bonsoir
15,.,.
16,Messieurs,messieurs
17,nous,nous
18,accueillons,accueillir
19,ce,ce
20,soir,soir
21,sur,sur
22,ce,ce
23,plateau,plateau
24,de,de
25,télévision,télévision
26,deux,deux
27,candidats,candidat
28,au,au
29,second,second
30,tour,tour
31,de,de
32,l,l
33,élection,élection
34,présidentielle,présidentiel
35,.,.
36,Ce,ce
37,débat,débat
38,était,être
39,attendu,attendre
40,c,c
41,est,être
42,peu,peu
43,de,de
44,le,le
45,dire,dire
46,ce,ce
47,débat,débat
48,est,être
49,maintenant,maintenant
50,devenu,devenir
51,une,un
52,tradition,tradition
53,dans,dans
54,la,le
55,vie,vie
56,politique,politique
57,française,français
58,depuis,depuis
59,.,.
60,C,c
61,est,être
62,donc,donc
63,le,le
64,troisième,troisième
65,.,.
66,Et,et
67,maintenant,maintenant
68,.,.
69,Nous,nous
70,vous,vous
71,remercions,remercier
72,d,d
73,avoir,avoir
74,accepté,accepter
75,l,l
76,un,un
77,et,et
78,l,l
79,autre,autre
80,que,que
81,les,le
82,deux,deux
83,grandes,grand
84,chaînes,chaîne
85,nationales,national
86,de,de
87,télévision,télévision
88,antenne,antenne
89,et,et
90,tf,tf
91,l,l
92,organisent,organiser
93,selon,selon
94,des,du
95,règles,règle|règles
96,précises,précis
97,.,.
98,Chaque,chaque
99,candidat,candidat
100,disposera,disposer
101,d,d
102,environ,environ
103,minutes,minute
104,.,.
105,.,.
106,.,.
107,Mais,mais
108,minutes,minute
109,précisément,précisément
110,.,.
111,.,.
112,.,.
113,Nos,notre
114,interventions,intervention
115,seront,être
116,décomptées,décompter
117,à,à
118,part,part
119,les,le
120,deux,deux
121,interventions,intervention
122,des,du
123,journalistes,journaliste
124,et,et
125,enfin,enfin
126,vous,vous
127,aurez,avoir
128,droit,droit
129,chacun,chacun
130,d,d
131,entre,entre
132,vous,vous
133,à,à
134,trois,trois
135,minutes,minute
136,de,de
137,conclusion,conclusion
138,.,.
139,Nous,nous
140,avons,avoir
141,divisé,diviser
142,ce,ce
143,débat,débattre
144,en,en
145,quatre,quatre
146,parties,partie
147,:,:
148,minutes,minute
149,pour,pour
150,la,le
151,politique,politique
152,intérieure,intérieur
153,et,et
154,les,le
155,institutions,institution
156,.,.
157,Minutes,minute
158,pour,pour
159,l,l
160,europe,europe
161,et,et
162,les,le
163,problèmes,problème
164,économiques,économique
165,et,et
166,sociaux,social
167,.,.
168,Minutes,minute
169,pour,pour
170,les,le
171,problèmes,problème
172,de,de
173,la,le
174,société,société
175,.,.
176,Minutes,minute
177,enfin,enfin
178,pour,pour
179,la,le
180,politique,politique
181,étrangère,étranger
182,et,et
183,la,le
184,défense,défense
185,.,.
186,Les,le
187,temps,temps
188,de,de
189,parole,parole
190,de,de
191,chacun,chacun
192,d,d
193,entre,entre
194,vous,vous
195,on,on
196,insiste,insister
197,sur,sur
198,ce,ce
199,point,point
200,parce,parce
201,que,que
202,c,c
203,est,être
204,important,important
205,doivent,devoir
206,être,être
207,équilibrés,équilibrer
208,à,à
209,la,le
210,fin,fin
211,de,de
212,chacune,chacun
213,des,du
214,parties,partie
215,.,.
216,Quant,quant
217,à,à
218,la,le
219,forme,forme
220,cette,ce
221,émission,émission
222,qui,qui
223,est,être
224,réalisée,réaliser
225,après,après
226,un,un
227,accord,accord
228,entre,entre
229,les,le
230,deux,deux
231,chaînes,chaîne
232,antenne,antenne
233,et,et
234,tf,tf
235,réalisée,réaliser
236,par,par
237,jean,jean
238,luc,luc
239,leridon,leridon
240,cette,ce
241,émission,émission
242,respectera,respecter
243,des,du
244,règles,règle|règles
245,de,de
246,stricte,strict
247,équité,équité
248,.,.
249,Par,par
250,exemple,exemple
251,seul,seul
252,le,le
253,candidat,candidat
254,qui,qui
255,s,s
256,exprime,exprimer
257,sera,être
258,présent,présent
259,à,à
260,l,l
261,écran,écran
262,à,à
263,ce,ce
264,moment,moment
265,là,là
266,.,.
267,Chacun,chacun
268,des,du
269,candidats,candidat
270,sera,être
271,suivi,suivre
272,pendant,pendant
273,toute,tout
274,la,le
275,durée,durée
276,de,de
277,l,l
278,émission,émission
279,par,par
280,trois,trois
281,caméras,caméra
282,.,.
283,Devant,devant
284,nous,nous
285,deux,deux
286,chronomètres,chronomètre
287,qui,qui
288,nous,nous
289,permettront,permettre
290,de,de
291,suivre,suivre
292,à,à
293,la,le
294,seconde,second
295,près,près
296,le,le
297,temps,temps
298,de,de
299,parole,parole
300,qui,qui
301,a,avoir
302,été,être
303,utilisé,utiliser
304,par,par
305,chacun,chacun
306,des,du
307,deux,deux
308,candidats,candidat
309,présents,présent
310,sur,sur
311,ce,ce
312,plateau,plateau
313,.,.
314,.,.
315,.,.
316,Encore,encore
317,une,un
318,fois,foi|fois
319,afin,afin
320,de,de
321,veiller,veiller
322,à,à
323,cette,ce
324,égalité,égalité
325,de,de
326,temps,temps
327,de,de
328,parole,parole
329,.,.
330,Mais,mais
331,nous,nous
332,ferons,faire
333,surtout,surtout
334,ce,ce
335,soir,soir
336,michèle,michèle
337,cotta,cotta
338,et,et
339,moi,moi
340,même,même
341,notre,notre
342,métier,métier
343,de,de
344,journaliste,journaliste
345,c,c
346,est,être
347,à,à
348,dire,dire
349,que,que
350,bien,bien
351,sûr,sûr
352,nous,nous
353,veillerons,veiller
354,à,à
355,l,l
356,équilibre,équilibre
