position,texte,rien
0,Bonsoir,bonsoir
1,.,.
2,Nous,nous
3,voici,voici
4,donc,donc
5,réunis,réunir
6,pour,pour
7,ce,ce
8,débat,débat
9,entre,entre
10,les,le
11,deux,deux
12,participants,participant
13,au,au
14,deuxième,deuxième
15,tour,tour
16,de,de
17,l,l
18,élection,élection
19,présidentielle,présidentiel
20,valéry,valéry
21,giscard,giscard
22,d,d
23,estaing,estaing
24,et,et
25,ce,ce
26,débat,débattre
27,a,avoir
28,été,être
29,organisé,organiser
30,par,par
31,la,le
32,commission,commission
33,de,de
34,contrôle,contrôle
35,avec,avec
36,l,l
37,accord,accord
38,des,du
39,représentants,représentant
40,des,du
41,deux,deux
42,candidats,candidat
43,.,.
44,Il,il
45,sera,être
46,dirigé,diriger
47,par,par
48,deux,deux
49,journalistes,journaliste
50,choisis,choisir
51,d,d
52,un,un
53,commun,commun
54,accord,accord
55,michèle,michèle
56,cotta,cotta
57,journaliste,journaliste
58,à,à
59,rtl,rtl
60,et,et
61,moi,moi
62,même,même
63,jean,jean
64,boissonnat,boissonnat
65,journaliste,journaliste
66,à,à
67,l,l
68,expansion,expansion
69,et,et
70,chroniqueur,chroniqueur
71,à,à
72,europe,europe
73,i,i
74,.,.
75,Nous,nous
76,devons,devoir
77,veiller,veiller
78,à,à
79,l,l
80,organisation,organisation
81,à,à
82,l,l
83,animation,animation
84,et,et
85,au,au
86,déroulement,déroulement
87,de,de
88,ce,ce
89,débat,débat
90,.,.
91,Chaque,chaque
92,candidat,candidat
93,disposera,disposer
94,de,de
95,cinquante,cinquante
96,minutes,minute
97,pour,pour
98,répondre,répondre
99,aux,au
100,questions,question
101,que,que
102,nous,nous
103,leur,lui
104,poserons,poser
105,et,et
106,qu,qu
107,ils,il
108,se,se
109,poseront,poser
110,l,l
111,un,un
112,à,à
113,l,l
114,autre,autre
115,.,.
116,Puis,puis
117,il,il
118,leur,lui
119,restera,rester
120,à,à
121,chacun,chacun
122,cinq,cinq
123,minutes,minute
124,pour,pour
125,conclure,conclure
126,.,.
127,Nous,nous
128,avons,avoir
129,regroupé,regrouper
130,en,en
131,trois,trois
132,grands,grand
133,thèmes,thème
134,les,le
135,questions,question
136,qui,qui
137,peuvent,pouvoir
138,être,être
139,posées,poser
140,:,:
141,le,le
142,premier,premier
143,autour,autour
144,des,du
145,problèmes,problème
146,de,de
147,politique,politique
148,intérieure,intérieur
149,;,;
150,le,le
151,deuxième,deuxième
152,sur,sur
153,les,le
154,questions,question
155,de,de
156,vie,vie
157,quotidienne,quotidien
158,des,du
159,français,français
160,et,et
161,de,de
162,la,le
163,vie,vie
164,économique,économique
165,;,;
166,le,le
167,troisième,troisième
168,sur,sur
169,les,le
170,problèmes,problème
171,de,de
172,politique,politique
173,extérieure,extérieur
174,.,.
175,Chacun,chacun
176,de,de
177,ces,ce
178,thèmes,thème
179,se,se
180,déroulera,dérouler
181,pendant,pendant
182,trente,trente
183,minutes,minute
184,.,.
185,Puis,puis
186,pendant,pendant
187,une,un
188,dizaine,dizaine
189,de,de
190,minutes,minute
191,nous,nous
192,poserons,poser
193,des,du
194,questions,question
195,de,de
196,caractère,caractère
197,plus,plus
198,général,général
199,avant,avant
200,que,que
201,chaque,chaque
202,candidat,candidat
203,conclue,conclure
204,en,en
205,cinq,cinq
206,minutes,minute
207,.,.
208,La,le
209,commission,commission
210,de,de
211,contrôle,contrôle
212,a,avoir
213,demandé,demander
214,à,à
215,ce,ce
216,que,que
217,les,le
218,personnes,personne
219,qui,qui
220,sont,être
221,présentes,présent
222,dans,dans
223,cette,ce
224,salle,salle
225,ne,ne
226,manifestent,manifester
227,pas,pas
228,leurs,leur
229,sentiments,sentiment
230,pendant,pendant
231,le,le
232,déroulement,déroulement
233,du,du
234,débat,débat
235,.,.
236,Aussi,aussi
237,nous,nous
238,les,la|le
239,remercions,remercier
240,d,d
241,avance,avance
242,de,de
243,bien,bien
244,vouloir,vouloir
245,taire,taire
246,ou,ou
247,leurs,leur
248,enthousiasmes,enthousiasme
249,ou,ou
250,leur,leur
251,réprobation,réprobation
252,pendant,pendant
253,la,le
254,durée,durée
255,de,de
256,la,le
257,discussion,discussion
258,.,.
259,Commençons,commencer
260,donc,donc
261,par,par
262,la,le
263,politique,politique
264,intérieure,intérieur
265,.,.
266,Michèle,michèle
267,cotta,cotta
268,pose,poser
269,la,le
270,première,premier
271,question,question
272,.,.
273,J,j
274,ajoute,ajouter
275,que,que
276,le,le
277,tirage,tirage
278,au,au
279,sort,sort
280,a,avoir
281,désigné,désigner
282,françois,françois
283,mitterrand,mitterrand
284,pour,pour
285,parler,parler
286,le,le
287,dernier,dernier
288,pour,pour
289,conclure,conclure
290,cette,ce
291,émission,émission
292,ce,ce
293,sera,être
294,donc,donc
295,valéry,valéry
296,giscard,giscard
297,d,d
298,estaing,estaing
299,si,si
300,vous,vous
301,le,le
302,voulez,vouloir
303,bien,bien
304,qui,qui
305,parlera,parler
306,le,le
307,premier,premier
308,.,.
309,Alors,alors
310,monsieur,monsieur
311,valéry,valéry
312,giscard,giscard
313,d,d
314,estaing,estaing
315,monsieur,monsieur
316,mitterrand,mitterrand
317,au,au
318,fond,fond
319,à,à
320,l,l
321,issue,issu
322,du,du
323,er,er
324,tour,tour
325,vous,vous
326,avez,avoir
327,devant,devant
328,vous,vous
329,à,à
330,peu,peu
331,près,près
332,le,le
333,même,même
334,problème,problème
335,.,.
336,Vous,vous
337,avez,avoir
338,obtenu,obtenir
339,l,l
340,un,un
341,et,et
342,l,l
343,autre,autre
344,le,le
345,avril,avril
346,plus,plus
347,de,de
348,le,le
349,quart,quart
350,du,du
351,corps,corps
352,électoral,électoral
