position,texte
0,Bonsoir
1,à
2,tous
3,.
4,Bonsoir
5,Ségolène
6,Royal
7,bonsoir
8,Nicolas
9,Sarkozy
10,.
11,Vous
12,êtes
13,évidemment
14,très
15,nombreux
16,nous
17,l
18,imaginons
19,ce
20,soir
21,pour
22,suivre
23,ce
24,débat
25,en
26,France
27,mais
28,aussi
29,à
30,l
31,étranger
32,puisqu
33,il
34,est
35,diffusé
36,en
37,direct
38,par
39,de
40,nombreuses
41,chaînes
42,en
43,Europe
44,mais
45,aussi
46,dans
47,le
48,monde
49,entier
50,.
51,Ce
52,face
53,à
54,face
55,est
56,attendu
57,.
58,Il
59,n
60,y
61,en
62,a
63,pas
64,eu
65,depuis
66,depuis
67,ans
68,en
69,France
70,.
71,Les
72,Français
73,vous
74,ont
75,donc
76,choisi
77,Ségolène
78,Royal
79,et
80,Nicolas
81,Sarkozy
82,pour
83,ce
84,second
85,tour
86,de
87,l
88,élection
89,présidentielle
90,.
91,Nous
92,sommes
93,là
94,avec
95,Patrick
96,Poivre
97,d
98,Arvor
99,pour
100,faire
101,en
102,sorte
103,que
104,ce
105,débat
106,se
107,déroule
108,dans
109,la
110,plus
111,grande
112,clarté
113,.
114,Les
115,règles
116,seront
117,les
118,mêmes
119,pour
120,tout
121,le
122,monde
123,même
124,temps
125,de
126,parole
127,mêmes
128,questions
129,.
130,Les
131,réponses
132,je
133,le
134,suppose
135,seront
136,différentes
137,.
138,Avec
139,Arlette
140,Chabot
141,nous
142,avons
143,décidé
144,de
145,définir
146,quatre
147,grands
148,chapitres
149,de
150,durée
151,égale
152,la
153,conception
154,du
155,pouvoir
156,et
157,les
158,institutions
159,les
160,problèmes
161,économiques
162,et
163,sociaux
164,les
165,problèmes
166,dits
167,de
168,société
169,type
170,éducation
171,famille
172,recherche
173,culture
174,environnement
175,et
176,les
177,relations
178,internationales
179,avec
180,l
181,Europe
182,comprise
183,.
184,Le
185,tirage
186,au
187,sort
188,effectué
189,au
190,sein
191,du
192,CSA
193,va
194,permettre
195,à
196,Nicolas
197,Sarkozy
198,de
199,commencer
200,l
201,exercice
202,et
203,à
204,Ségolène
205,Royal
206,de
207,le
208,conclure
209,.
210,Pour
211,détendre
212,l
213,atmosphère
214,quel
215,est
216,votre
217,état
218,d
219,esprit
220,aux
221,uns
222,et
223,aux
224,autres
225,Ségolène
226,Royal
227,comment
228,vous
229,sentez-vous
230,Très
231,bien
232,très
233,fière
234,très
235,heureuse
236,d
237,être
238,ici
239,merci
240,.
241,Concentré
