position,texte,rien
0,﻿bonsoir,﻿bonsoir
1,à,à
2,tous,tout
3,.,.
4,Bonsoir,bonsoir
5,ségolène,ségolène
6,royal,royal
7,bonsoir,bonsoir
8,nicolas,nicolas
9,sarkozy,sarkozy
10,.,.
11,Vous,vous
12,êtes,être
13,évidemment,évidemment
14,très,très
15,nombreux,nombreux
16,nous,nous
17,l,l
18,imaginons,imaginer
19,ce,ce
20,soir,soir
21,pour,pour
22,suivre,suivre
23,ce,ce
24,débat,débat
25,en,en
26,france,france
27,mais,mais
28,aussi,aussi
29,à,à
30,l,l
31,étranger,étranger
32,puisqu,puisqu
33,il,il
34,est,être
35,diffusé,diffuser
36,en,en
37,direct,direct
38,par,par
39,de,de
40,nombreuses,nombreux
41,chaînes,chaîne
42,en,en
43,europe,europe
44,mais,mais
45,aussi,aussi
46,dans,dans
47,le,le
48,monde,monde
49,entier,entier
50,.,.
51,Ce,ce
52,face,face
53,à,à
54,face,face
55,est,être
56,attendu,attendre
57,.,.
58,Il,il
59,n,n
60,y,y
61,en,en
62,a,avoir
63,pas,pas
64,eu,avoir
65,depuis,depuis
66,depuis,depuis
67,ans,an
68,en,en
69,france,france
70,.,.
71,Les,le
72,français,français
73,vous,vous
74,ont,avoir
75,donc,donc
76,choisi,choisir
77,ségolène,ségolène
78,royal,royal
79,et,et
80,nicolas,nicolas
81,sarkozy,sarkozy
82,pour,pour
83,ce,ce
84,second,second
85,tour,tour
86,de,de
87,l,l
88,élection,élection
89,présidentielle,présidentiel
90,.,.
91,Nous,nous
92,sommes,sommer|être
93,là,là
94,avec,avec
95,patrick,patrick
96,poivre,poivre
97,d,d
98,arvor,arvor
99,pour,pour
100,faire,faire
101,en,en
102,sorte,sorte
103,que,que
104,ce,ce
105,débat,débat
106,se,se
107,déroule,dérouler
108,dans,dans
109,la,le
110,plus,plus
111,grande,grand
112,clarté,clarté
113,.,.
114,Les,le
115,règles,règle|règles
116,seront,être
117,les,le
118,mêmes,même
119,pour,pour
120,tout,tout
121,le,le
122,monde,monde
123,même,même
124,temps,temps
125,de,de
126,parole,parole
127,mêmes,même
128,questions,question
129,.,.
130,Les,le
131,réponses,réponse
132,je,je
133,le,le
134,suppose,supposer
135,seront,être
136,différentes,différent
137,.,.
138,Avec,avec
139,arlette,arlette
140,chabot,chabot
141,nous,nous
142,avons,avoir
143,décidé,décider
144,de,de
145,définir,définir
146,quatre,quatre
147,grands,grand
148,chapitres,chapitre
149,de,de
150,durée,durée
151,égale,égaler
152,la,le
153,conception,conception
154,du,du
155,pouvoir,pouvoir
156,et,et
157,les,le
158,institutions,institution
159,les,le
160,problèmes,problème
161,économiques,économique
162,et,et
163,sociaux,social
164,les,le
165,problèmes,problème
166,dits,dire
167,de,de
168,société,société
169,type,type
170,éducation,éducation
171,famille,famille
172,recherche,rechercher
173,culture,culture
174,environnement,environnement
175,et,et
176,les,le
177,relations,relation
178,internationales,international
179,avec,avec
180,l,l
181,europe,europe
182,comprise,comprendre
183,.,.
184,Le,le
185,tirage,tirage
186,au,au
187,sort,sort
188,effectué,effectuer
189,au,au
190,sein,sein
191,du,du
192,csa,csa
193,va,aller
194,permettre,permettre
195,à,à
196,nicolas,nicolas
197,sarkozy,sarkozy
198,de,de
199,commencer,commencer
200,l,l
201,exercice,exercice
202,et,et
203,à,à
204,ségolène,ségolène
205,royal,royal
206,de,de
207,le,le
208,conclure,conclure
209,.,.
210,Pour,pour
211,détendre,détendre
212,l,l
213,atmosphère,atmosphère
214,quel,quel
215,est,être
216,votre,votre
217,état,état
218,d,d
219,esprit,esprit
220,aux,au
221,uns,un
222,et,et
223,aux,au
224,autres,autre
225,ségolène,ségolène
226,royal,royal
227,comment,comment
228,vous,vous
229,sentez,sentir
230,vous,vous
231,très,très
232,bien,bien
233,très,très
234,fière,fier
235,très,très
236,heureuse,heureux
237,d,d
238,être,être
239,ici,ici
240,merci,merci
241,.,.
242,Concentré,concentrer
243,parce,parce
244,qu,qu
245,un,un
246,débat,débat
247,c,c
248,est,être
249,quelque,quelque
250,chose,chose
251,d,d
252,exigeant,exigeant
253,.,.
254,Les,le
255,français,français
256,nous,nous
257,ont,avoir
258,sélectionnés,sélectionner
259,mme,madame
260,royal,royal
261,et,et
262,moi,moi
263,pour,pour
264,être,être
265,au,au
266,deuxième,deuxième
267,tour,tour
268,.,.
269,Nous,nous
270,portons,porter
271,tous,tout
272,les,la|le
273,deux,deux
274,une,un
275,responsabilité,responsabilité
276,la,le
277,même,même
278,celle,celui
279,de,de
280,redonner,redonner
281,à,à
282,la,le
283,vie,vie
284,politique,politiquer
285,sa,son
286,dignité,dignité
287,.,.
288,Ceux,celui
289,qui,qui
290,nous,nous
291,regardent,regarder
292,quelle,quel
293,que,que
294,soit,soit
295,leur,leur
296,conviction,conviction
297,quel,quel
298,qu,qu
299,ait,avoir
300,été,être
301,leur,leur
302,choix,choix
303,au,au
304,premier,premier
305,tour,tour
306,j,j
307,espère,espérer
308,qu,qu
309,à,à
310,la,le
311,fin,fin
312,du,du
313,débat,débat
314,ils,il
315,pourront,pouvoir
316,se,se
317,dire,dire
318,on,on
319,en,en
320,sait,savoir
321,un,un
322,peu,peu
323,plus,plus
324,on,on
325,a,avoir
326,compris,comprendre
327,ce,ce
328,que,que
329,l,l
330,un,un
331,et,et
332,l,l
333,autre,autre
334,nous,nous
335,voulons,vouloir
336,faire,faire
337,pour,pour
338,la,le
339,france,france
340,.,.
341,Première,premier
342,question,question
343,simple,simple
344,quelle,quel
345,présidente,président
346,ou,ou
347,quel,quel
348,président,président
349,serez,être
350,vous,vous
351,si,si
352,vous,vous
353,êtes,être
354,élu,élire
355,vous,vous
356,appartenez,appartenir
357,tous,tout
358,les,le
359,deux,deux
360,à,à
361,une,un
362,nouvelle,nouveau
363,génération,génération
364,.,.
365,Il,il
366,y,y
367,a,avoir
368,eu,avoir
369,le,le
370,quinquennat,quinquennat
371,qui,qui
372,accélère,accélérer
373,la,le
374,vie,vie
375,politique,politique
376,française,français
377,.,.
378,Quel,quel
379,style,style
380,voulez,vouloir
381,vous,vous
382,donner,donner
383,à,à
384,cette,ce
385,présidence,présidence
386,quel,quel
387,pouvoir,pouvoir
388,doit,devoir
389,avoir,avoir
390,un,un
391,président,président
392,dans,dans
393,un,un
394,monde,monde
395,moderne,moderne
396,et,et
397,quel,quel
398,contre,contre
399,pouvoir,pouvoir
400,pouvez,pouvoir
401,vous,vous
402,installer,installer
403,pour,pour
404,une,un
405,première,premier
406,question,question
407,c,c
408,est,être
409,tout,tout
410,un,un
411,panel,panel
412,de,de
413,questions,question
414,.,.
415,D,d
416,abord,abord
417,l,l
418,affaire,affaire
419,de,de
420,génération,génération
421,je,je
422,crois,croire
423,qu,qu
424,il,il
425,faut,falloir
426,rester,rester
427,calme,calme
428,là,là
429,dessus,dessus
430,.,.
431,Nous,nous
432,sommes,sommer|être
433,des,du
434,quinquagénaires,quinquagénaire
435,dans,dans
436,l,l
437,entreprise,entreprise
438,ce,ce
439,n,n
440,est,être
441,pas,pas
442,les,le
443,tout,tout
444,jeunes,jeune
445,.,.
446,Je,je
447,ne,ne
448,pense,penser
449,pas,pas
450,que,que
451,l,l
452,âge,âge
453,change,changer
454,quelque,quelque
